,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PC1,PC2,db_label
0,Stephen Curry,GSW,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,15,2,12.9,-27.6560742702,4.62801040598,0
1,James Harden,HOU,26,82,41,41,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,23,3,1.5,-18.4623345262,0.0985802407919,0
2,Kevin Durant,OKC,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,27,1,9.0,-22.732277209,-0.597912697976,1
3,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,47,1,0.6,-4.83525610776,5.35132951293,2
4,LeBron James,CLE,31,76,56,20,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,28,3,8.1,-4.34181187334,1.86127298868,2
5,Damian Lillard,POR,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,15,0,1.3,-21.9821347594,-0.0284558110871,3
6,Anthony Davis,NOP,23,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,36,0,-3.3,-6.89786713931,1.82879249241,4
7,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,54,18,7.9,-10.8997492524,-2.7828925077,5
8,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,3,0,2.2,-15.7770292438,-1.41735126973,6
9,Paul George,IND,26,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,15,0,2.2,-18.8533263088,1.27798064452,0
10,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,7,0,3.6,-18.9829097096,-0.446527356789,3
11,Klay Thompson,GSW,26,80,71,9,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,0,0,10.5,-22.6475515343,4.41843275724,7
12,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,22,0,-0.6,-14.2121491444,0.0540842282393,5
13,Blake Griffin,LAC,27,35,22,13,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,13,0,5.2,-4.94090372605,4.17838991006,4
14,Kyle Lowry,TOR,30,77,54,23,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4.0,4.7,6.4,2.9,2.1,0.4,2.7,12,1,4.9,-15.5776023947,5.2541251142,8
15,Kawhi Leonard,SAS,25,72,60,12,33.1,21.2,7.7,15.1,50.6,1.8,4.0,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,12,0,9.1,-23.0602938671,5.17252929876,5
16,Jimmy Butler,CHI,26,67,37,30,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,10,2,-0.2,-12.5990223975,-2.66963213566,5
17,Kemba Walker,CHA,26,81,47,34,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,3,0,3.0,-17.5360258496,1.85929996828,0
18,CJ McCollum,POR,24,80,44,36,34.7,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,2,0,1.9,-18.2469837192,6.54325818273,3
19,Andrew Wiggins,MIN,21,81,29,52,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,1,0,-0.8,-5.90591724375,0.152555063313,9
20,Brook Lopez,BKN,28,73,21,52,33.7,20.6,8.1,15.8,51.1,0.0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2.0,2.4,0.8,1.7,2.9,26,0,-1.7,0.892400042731,-15.000615058,10
